Riqueza,Viento,Cielo,Rio,Hora,Mes,VERCHR,VERCYA,HYLMUS,VIRSOL,CARPUS,SETCIT,SETVIR,DUMCAR,SETMAG,SETPEN,OREPER
2,3,0,0,1040,2,0,0,0,0,1,0,0,0,0,0,0
1,2,3,1,1153,3,0,0,0,0,0,0,0,0,0,0,0
3,2,3,0,757,12,0,0,0,0,0,0,0,0,0,1,0
4,2,3,0,740,12,0,0,0,0,1,0,0,0,0,0,0
3,1,2,0,1033,2,0,0,0,0,1,1,0,0,0,0,0
2,1,2,0,715,4,0,0,0,0,0,1,0,0,0,0,0
1,3,2,0,1048,2,0,0,0,0,0,0,0,0,0,0,0
6,2,3,0,658,4,0,0,1,0,0,0,0,1,0,0,0
2,1,2,0,1220,1,0,0,0,0,1,0,0,0,0,0,0
2,2,2,0,1237,1,0,0,0,0,1,0,0,0,0,0,0
3,1,2,0,1251,1,0,0,0,0,1,0,1,0,0,0,0
5,1,2,0,1120,2,0,0,0,0,1,0,0,0,0,0,0
5,1,0,0,831,4,0,0,0,0,0,0,0,1,1,0,0
4,1,2,0,1106,2,0,0,0,0,1,1,0,0,0,0,0
6,1,0,0,818,4,0,0,0,0,0,0,1,1,0,0,0
3,2,2,0,1047,2,0,0,0,0,1,0,0,0,0,0,0
7,1,0,0,805,4,0,0,0,0,1,0,1,0,2,0,0
0,1,0,3,705,1,0,0,0,0,0,0,0,0,0,0,0
9,1,0,3,721,1,1,0,0,0,0,1,1,0,1,0,0
7,2,0,3,738,1,0,0,0,0,1,0,1,0,1,0,0
2,2,2,2,805,2,0,0,0,0,1,0,0,0,0,0,0
3,2,0,3,1114,4,0,0,0,0,1,0,0,1,0,0,0
2,1,2,2,752,2,0,0,0,0,1,0,0,0,0,0,0
4,2,0,2,1125,5,0,0,0,0,0,0,0,0,1,0,0
6,1,0,2,734,2,0,0,0,0,0,0,2,0,1,0,0
3,2,0,2,1136,4,0,0,0,0,0,0,0,0,0,0,0
2,1,2,3,1551,1,0,0,0,0,1,0,0,1,0,0,0
0,1,2,3,1525,1,0,0,0,0,0,0,0,0,0,0,0
0,1,2,3,1537,1,0,0,0,0,0,0,0,0,0,0,0
4,1,0,2,714,2,0,0,0,0,1,0,1,0,0,0,0
2,3,0,2,1203,4,0,0,0,0,0,0,0,0,0,1,0
6,1,1,3,700,2,0,0,0,0,1,0,2,0,1,0,0
1,2,0,3,1158,4,0,0,0,0,0,0,0,0,0,0,0
11,1,1,3,645,2,1,0,2,0,1,0,4,0,1,0,0
3,2,1,3,1147,4,0,0,0,0,0,0,1,0,0,1,0
3,5,1,0,1030,12,0,0,0,0,1,0,0,0,0,1,1
0,3,1,0,1047,12,0,0,0,0,0,0,0,0,0,0,0
1,5,1,0,1100,12,0,0,0,0,0,0,0,0,0,0,0
4,1,0,0,741,2,0,0,0,1,1,0,1,0,0,0,0
9,1,0,0,744,4,0,0,0,1,1,0,0,0,1,0,0
7,1,0,0,724,2,0,0,0,0,1,0,1,0,0,0,0
9,1,0,0,802,4,0,0,0,0,0,0,0,0,0,0,0
15,1,0,0,703,2,1,1,0,1,1,0,1,1,1,1,0
4,1,0,0,831,4,0,0,0,0,1,0,0,0,0,0,0
4,2,1,0,911,12,0,0,0,0,2,0,0,0,0,0,0
7,1,0,0,1143,2,0,0,0,0,0,0,1,0,1,1,0
8,1,1,0,931,12,1,0,0,1,1,0,1,0,0,0,0
6,2,0,0,1125,2,0,0,0,0,1,0,1,0,1,1,0
5,2,2,0,638,4,0,0,0,0,0,0,1,1,2,0,0
7,1,3,0,658,4,0,0,0,0,1,0,0,0,1,1,2
6,1,1,0,957,12,0,0,0,0,0,0,1,0,1,0,0
4,2,0,0,1108,2,0,0,0,0,1,0,0,0,1,0,0
4,1,1,0,1022,12,0,0,0,0,0,0,0,0,0,0,0
2,1,0,0,1055,2,0,0,0,0,1,0,0,0,0,0,0
2,1,1,0,1048,12,0,0,0,0,0,0,0,0,0,0,0
8,2,0,0,1038,2,1,0,0,0,1,0,0,0,1,1,0
6,1,2,0,722,4,0,0,0,0,0,0,0,0,0,0,2
6,1,2,0,746,4,0,0,0,0,0,0,0,0,0,0,7
6,1,2,0,805,4,0,0,0,0,0,0,0,0,0,0,3
6,1,2,0,1016,12,0,0,0,0,1,0,1,0,0,0,0
2,1,0,0,1422,2,0,0,0,0,0,0,2,0,0,0,0
1,1,2,0,1040,12,0,0,0,0,0,0,1,0,0,0,0
3,2,0,0,1411,2,0,0,0,0,0,0,0,0,0,0,0
2,1,2,0,1055,12,0,0,0,0,0,0,1,0,1,0,0
2,2,0,0,1358,2,0,0,0,0,1,0,0,0,0,0,0
5,1,2,0,711,4,0,0,0,0,1,0,0,0,0,0,0
4,3,0,0,725,4,0,0,0,0,0,0,1,0,0,0,0
0,2,0,0,736,4,0,0,0,0,0,0,0,0,0,0,0
0,2,2,1,1137,3,0,0,0,0,0,0,0,0,0,0,0
1,1,1,2,958,1,0,0,0,0,1,0,0,0,0,0,0
7,1,0,0,707,2,0,0,0,0,1,0,0,0,0,0,0
1,2,0,0,1002,4,0,0,0,0,0,0,0,0,0,0,0
2,1,0,0,1038,1,0,0,0,0,1,0,0,0,1,0,0
1,1,0,0,633,2,0,0,0,0,0,0,0,0,0,0,0
0,3,0,0,1014,4,0,0,0,0,0,0,0,0,0,0,0
3,2,2,0,1105,1,0,0,0,0,3,0,1,0,0,0,0
1,2,0,0,751,2,0,0,0,0,0,0,1,0,0,0,0
1,3,0,0,1042,4,0,0,0,0,0,0,0,0,0,0,0
1,1,2,0,1127,1,0,0,0,0,1,0,0,0,0,0,0
0,1,0,0,737,2,0,0,0,0,0,0,0,0,0,0,0
0,2,0,0,1031,4,0,0,0,0,0,0,0,0,0,0,0
6,1,2,0,1017,1,0,0,0,0,0,2,0,0,1,0,0
3,4,1,0,731,2,0,0,0,0,0,0,1,0,0,0,0
0,1,0,0,1525,4,0,0,0,0,0,0,0,0,0,0,0
2,1,2,0,1039,1,0,0,0,0,1,0,0,0,1,0,0
0,4,1,0,711,2,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,1510,4,0,0,0,0,0,0,0,0,0,0,0
3,1,3,0,821,1,0,0,0,0,1,0,0,0,0,0,0
3,2,0,0,829,2,0,0,0,0,0,0,1,0,0,0,0
3,2,0,0,1109,4,0,0,0,0,2,0,1,0,0,0,0
1,1,1,0,1201,1,0,0,0,0,0,0,1,0,0,0,0
9,3,3,0,709,2,0,0,1,0,1,0,0,0,0,0,0
1,1,1,0,906,4,0,0,0,0,0,0,0,0,0,0,0
1,2,2,0,1228,1,0,0,0,0,0,0,0,0,1,0,0
6,3,3,0,728,2,0,0,0,0,1,1,2,1,1,0,0
2,1,0,0,1007,4,0,0,0,0,2,0,0,0,1,0,0
4,2,2,0,1107,1,1,0,0,0,2,0,0,0,1,0,0
4,0,0,0,638,2,1,0,0,0,0,0,0,0,0,0,0
9,1,0,0,706,4,1,0,0,0,1,1,2,0,2,0,0
