Visit,CARPUS,DIVDIV,HYLMUS,PSAWAG,SETMAG,SETPEN,SETVIR,VERCHR,VERCYA,VIRPHI
1,1,0,0,0,1,0,2,0,0,0
1,1,0,0,0,1,0,4,0,0,0
1,0,0,0,0,0,0,2,0,0,0
1,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,1,1,1,0,0,0
1,1,0,0,0,1,0,3,0,0,0
1,1,0,0,0,0,0,0,0,0,0
1,1,2,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,1,0,0,6
1,1,0,0,2,1,0,1,0,0,0
1,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0
1,1,1,0,2,0,0,1,1,0,0
1,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,1,0,1,0,0,0
2,0,0,0,0,1,1,4,0,0,0
2,0,0,0,18,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,1,1,1,0,0,1
2,1,0,0,0,0,1,1,0,0,0
2,1,0,0,0,0,0,2,0,0,0
2,1,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0
2,1,0,0,0,0,0,0,0,0,4
2,0,0,0,0,1,0,2,0,0,1
2,1,0,2,0,1,0,4,1,0,0
2,1,0,0,0,1,1,1,1,1,0
2,1,0,0,0,1,1,1,0,0,0
2,1,0,0,0,1,1,0,1,0,5
2,1,0,0,0,0,0,0,0,0,0
3,0,3,0,0,0,0,0,0,0,0
3,0,0,0,28,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0
3,1,0,0,1,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0
3,1,0,0,0,1,0,3,1,1,0
3,0,0,0,0,0,0,0,0,0,0
3,0,0,1,0,0,0,0,0,0,0
3,1,0,0,0,2,0,1,0,0,1
3,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,1,1,0,0,0
3,1,0,0,0,0,0,0,0,0,0
3,1,0,0,0,1,1,0,0,0,1
3,0,2,0,0,0,0,0,0,0,0
