Sistema,HYLMUS
BOSQUE,0
BOSQUE,1
BOSQUE,0
DAI,1
DAI,2
DAI,1
SOL,0
SOL,1
SOL,0
SOMBRA,2
SOMBRA,3
SOMBRA,0
