Sistema,CARPUS
BOSQUE,8
BOSQUE,6
BOSQUE,12
DAI,19
DAI,18
DAI,12
SOL,11
SOL,4
SOL,8
SOMBRA,5
SOMBRA,5
SOMBRA,3
